,date,TICKER,PRC,PRC moving average 20
0,20000103,EWST,8.5625,-1.0
1,20000104,EWST,8.4375,-1.0
2,20000105,EWST,8.5625,-1.0
3,20000106,EWST,8.5,-1.0
4,20000107,EWST,8.4375,-1.0
5,20000110,EWST,8.4375,-1.0
6,20000111,EWST,8.46875,-1.0
7,20000112,EWST,8.375,-1.0
8,20000113,EWST,8.125,-1.0
9,20000114,EWST,8.375,-1.0
10,20000118,EWST,8.375,-1.0
11,20000119,EWST,8.0,-1.0
12,20000120,EWST,8.0,-1.0
13,20000121,EWST,8.125,-1.0
14,20000124,EWST,8.34375,-1.0
15,20000125,EWST,8.0,-1.0
16,20000126,EWST,8.25,-1.0
17,20000127,EWST,8.0,-1.0
18,20000128,EWST,8.375,-1.0
19,20000131,EWST,8.125,8.29375
20,20000201,EWST,8.375,8.284375
21,20000202,EWST,8.25,8.275
22,20000203,EWST,8.25,8.259375
23,20000204,EWST,8.125,8.240625
24,20000207,EWST,8.125,8.225
25,20000208,EWST,8.3125,8.21875
26,20000209,EWST,8.1875,8.2046875
27,20000210,EWST,8.125,8.1921875
28,20000211,EWST,8.25,8.1984375
29,20000214,EWST,8.125,8.1859375
30,20000215,EWST,8.125,8.1734375
31,20000216,EWST,8.125,8.1796875
32,20000217,EWST,8.21875,8.190625
33,20000218,EWST,8.125,8.190625
34,20000222,EWST,8.125,8.1796875
35,20000223,EWST,8.125,8.1859375
36,20000224,EWST,8.125,8.1796875
37,20000225,EWST,8.15625,8.1875
38,20000228,EWST,8.1875,8.178125
39,20000229,EWST,8.25,8.184375
40,20000301,EWST,8.25,8.178125
41,20000302,EWST,8.25,8.178125
42,20000303,EWST,8.125,8.171875
43,20000306,EWST,8.125,8.171875
44,20000307,EWST,8.1875,8.175
45,20000308,EWST,7.875,8.153125
46,20000309,EWST,7.625,8.125
47,20000310,EWST,7.9375,8.115625
48,20000313,EWST,7.8125,8.09375
49,20000314,EWST,7.875,8.08125
50,20000315,EWST,7.75,8.0625
51,20000316,EWST,7.75,8.04375
52,20000317,EWST,8.25,8.0453125
53,20000320,EWST,7.75,8.0265625
54,20000321,EWST,8.0625,8.0234375
55,20000322,EWST,8.0625,8.0203125
